"SITE_ID","VISIT_NO","MMI_BENT","OE_SCORE_OLD"
"KSRS-1288",1,16.45,0.409185953
"AZR9-0903",1,11.4,0.279837816
"AZSS-1115",1,43.67,1.263744136
"KSR9-0910",1,22.4,0.939382504
"AZLS-1055",1,34.38,1.32908917
"KSRS-1270",1,24.28,0.725868123
"KSS9-0933",1,31.53,1.350914603
"AZR9-0903",2,11.4,0.279837816
"KYRM-1006",1,27.8,0.493663102
"KSR9-0902",1,19.3,0.860671853
"KYRM-1002",1,3.87,0.538082076
"GAS9-0921",1,10.3,0.600774125
"GAS9-0915",1,8.28,0.419024904
"PARM-1005",1,14.83,0.519596583
"OHRM-1002",1,6.07,0.30537884
"PARM-1001",1,17.93,0.427861145
"NJS9-0908",1,13.15,0.347799868
"CARM-1007",1,9.87,0.225447522
"AZR9-0902",1,29.02,0.735991287
"AZR9-0901",1,21.37,0.763844541
"CARM-1003",1,5.57,0.19523375
"NJRO-1019",1,0,0.308842648
"TXR9-0907",1,37.6,0.788006314
"GAS9-0916",1,63.47,0.93840983
"NES9-0934",1,0,0.350016091
"KSRS-1261",1,16.97,0.551612043
"KSRS-1277",1,40.15,0.955162647
"OKR9-0901",1,24.4,0.521339129
"PALS-1091",1,90.87,1.213144964
"NJLS-1043",1,11.75,0.685182851
"DELS-1036",1,32.67,1.054678067
"NES9-0923",1,31.65,0.482708595
"NES9-0930",1,0,0.454701286
"WVRF-0001",1,62.08,1.001752253
"OKS9-0935",1,31.32,0.796008191
"PAS9-0918",1,79.53,0.913427456
"MDS9-0914",1,19.75,1.023270872
"NJR9-0901",1,49.85,0.661073246
"TXS9-0926",1,18.03,0.637870198
"NJSS-1082",1,14.67,0.506655426
"NJRO-1020",1,8.28,0.211434138
"MNSS-1171",1,28.68,1.063484175
"PAS9-0923",1,22.53,0.859302279
"NJS9-0909",1,10.92,0.397556362
"NER9-0904",1,24.17,0.101868389
"AZRM-1002",1,44.73,0.253408979
"MDRM-1003",1,28.18,0.63810124
"NVRM-1001",1,18.55,0.673146736
"OKR9-0909",1,20.17,1.171862349
"OKS9-0931",1,16.57,0.653995693
"NELS-1074",1,19.45,0.978177993
"PALS-1090",1,74.75,1.230014179
"KSRS-1340",1,13.3,0.612716113
"NDSS-1103",1,15.65,0.63031576
"TXSS-1216",1,28.08,0.94297497
"TXS9-0928",1,31.85,1.119607026
"KSR9-0906",1,56.73,1.405491771
"WIRF-0011",1,29.4,0.716812963
"PAS9-0922",1,50.98,1.074700044
"MNS9-0933",1,26.78,1.040887761
"NJR9-0902",1,7.4,0.457850542
"OKRO-1089",1,4.03,0.381715899
"VTR9-0901",1,11.58,0.596597239
"WIRF-0006",1,31.02,0.647333734
"NDLS-1055",1,58.57,1.054192268
"COS9-0934",1,36.85,0.945336196
"CAR9-0902",1,30.9,0.630797325
"TXS9-0936",1,43.6,1.121429958
"MNS9-0934",1,13.28,0.485788783
"MNSS-1175",1,16.7,0.781778393
"COR9-0903",1,15.98,0.845234819
"COS9-0926",1,39.32,0.944996151
"COS9-0929",1,7.75,0.557819146
"VTRS-1007",1,79.12,1.058963241
"MDRO-1018",1,34.98,0.994825542
"MORF-0009",1,28.83,0.654192228
"GAS9-0922",1,31.98,0.840819464
"NDR9-0907",1,56.2,1.296363268
"OKR9-0901",2,13.52,0.130334782
"MNR9-0912",1,30.47,0.674747319
"MIRF-0004",1,56.08,0.890315273
"MDRO-1015",1,39.78,0.842427894
"KYS9-0919",1,15,0.466622719
"KSR9-0904",1,37.4,0.869612215
"OKR9-0905",1,28.15,0.703455461
"MORF-0004",1,25.68,1.039977628
"OHS9-0919",1,0,0.143295943
"ALSS-1063",1,20.03,0.770644633
"MIRF-0003",1,47.33,0.9677504
"OHS9-0914",1,19.6,0.678386607
"SDSS-1190",1,20,0.436446295
"NHR9-0903",1,7.22,0.667831206
"CTSS-1077",1,10.87,0.400696
"OHLS-1071",1,2.82,0.112520589
"COS9-0924",1,25.87,0.998519258
"GAS9-0919",1,62.97,1.098154027
"NDSS-1106",1,39.1,1.433829823
"UTRF-0004",1,70.1,1.097050622
"OHSS-1125",1,36.37,0.886133425
"OHRO-1031",1,8.32,0.587057334
"MIRF-0002",1,66.33,1.238664776
"MORF-0005",1,24.6,0.694175208
"MIS9-0923",1,20.1,1.109431044
"MISS-1136",1,22.92,1.119381186
"TXS9-0926",2,19.47,0.637870198
"MDRO-1014",1,22.95,0.837619642
"ALS9-0918",1,32.52,0.740671585
"ALSS-1064",1,28.65,0.936441757
"MNS9-0929",1,13.98,0.970358976
"NVS9-0921",1,36.6,0.546810489
"NVR9-0920",1,70.22,0.783825144
"OHS9-0922",1,34.05,0.854716276
"WASS-1140",1,9,0.129028801
"COS9-0925",1,54.15,0.534358796
"MIRF-0005",1,36,0.907467517
"WAS9-0919",1,14.37,0.496590617
"OHR9-0907",1,42.53,0.196470684
"OHRO-1035",1,19.02,0.842873468
"COS9-0922",1,45.67,0.979916372
"OHS9-0915",1,19.45,0.478432741
"OHRM-1001",1,44.53,0.969920014
"PAR9-0910",1,14.38,0.707658689
"NDS9-0938",1,35.48,1.026261762
"KSRS-1269",1,26.08,1.128110937
"VTRF-0002",1,69.05,0.890434794
"VTRS-1004",1,69.8,0.858329829
"ARS9-0946",1,14.23,0.504109111
"ALS9-0916",1,5.7,0.17996344
"OHRO-1036",1,17.77,0.79887206
"DESS-1085",1,21.72,0.520319155
"KSRF-0004",1,28.53,0.874949507
"MNSS-1169",1,23.78,0.598696507
"COS9-0920",1,33.18,0.889184808
"TXS9-0928",2,22.45,1.221389483
"OKR9-0913",1,17.73,0.243152003
"MTS9-0934",1,23,0.82861703
"UTRO-1035",1,2.58,0.664436837
"NVSS-1104",1,60.2,0.593132456
"KYS9-0924",1,18.08,0.437333931
"KSRS-1336",1,35.92,1.163468796
"ARRM-1004",1,22.3,0.521906988
"NDR9-0910",1,39.68,0.990840193
"WIRF-0008",1,60.75,1.143957928
"OKS9-0939",1,58.58,0.710599704
"SDS9-0938",1,52.07,1.099764459
"ALR9-0904",1,41,0.793601138
"KSRF-0002",1,55.3,1.293435017
"WALS-1070",1,52.65,0.699532216
"PARM-1002",1,44.15,0.991530915
"UTSS-1107",1,19.98,0.922181665
"OHSS-1124",1,13.8,0.72245485
"MTS9-0941",1,85.98,1.092611768
"NDSS-1105",1,16.78,0.552117993
"MDR9-0905",1,61.28,1.098586084
"TXR9-0903",1,48.27,1.23243988
"WIRF-0002",1,67.42,0.895855532
"ORR9-0912",1,9.13,0.398263408
"NVS9-0926",1,60.8,1.084677547
"OHS9-0920",1,11.95,0.482036933
"OKR9-0908",1,5.13,0.366756798
"OKR9-0911",1,41.65,1.310950791
"SDSS-1191",1,4.77,0.509395093
"KYSS-1080",1,26,0.651590218
"VTS9-0917",1,50.65,1.032954614
"VARF-0004",1,72.33,1.272648359
"MNS9-0932",1,15.72,0.834691367
"TXS9-0940",1,16.45,0.561141932
"MDRM-1004",1,40.92,0.72392227
"LAR9-0915",1,22.42,0.64485554
"COLS-1060",1,28.33,0.772327228
"MTLS-1140",1,60.35,1.429883644
"ALS9-0919",1,42.25,0.83304246
"COS9-0928",1,43.25,0.840027961
"KSRF-0003",1,35.75,1.167417444
"COLS-1064",1,51.52,1.109790024
"MIS9-0934",1,2.43,0.835213384
"UTR9-0904",1,7.48,0.455987614
"LALS-1038",1,16.57,0.563222008
"MIRF-0001",1,57.05,1.194653665
"NHS9-0912",1,22.23,0.62879911
"MNS9-0935",1,26.38,1.236503562
"ORS9-0932",1,65.25,1.183708719
"ARRO-1021",1,49.93,0.731200325
"NVLS-1046",1,35.22,0.666299255
"INSS-1089",1,32.5,0.838106348
"MIS9-0924",1,0,0.353338173
"WIRF-0003",1,33.85,0.728215302
"ALRM-1003",1,63.67,1.132245154
"COR9-0901",1,34.42,0.642183233
"OHRM-1005",1,9.95,0.30563268
"WALS-1072",1,44.02,0.897159669
"ALS9-0922",1,31.02,0.802071224
"MDS9-0914",2,22.77,1.227925047
"OHSS-1123",1,24.6,0.871822107
"NES9-0928",1,44.3,0.537437808
"OKR9-0902",1,29.28,0.819328871
"WAS9-0918",1,53.23,0.941823569
"LAS9-0944",1,21.88,0.59471314
"DESS-1081",1,34.68,1.108986984
"NES9-0934",2,18.12,0.933376242
"KSR9-0904",2,30.18,0.869612215
"ORR9-0910",1,41.98,1.222980139
"NDS9-0941",1,26.05,0.717486434
"ALRF-0003",1,74.02,1.010604514
"IDRM-1001",1,7.15,0.258554134
"IDR9-0903",1,44.88,0.839129415
"IDR9-0901",1,18.13,0.475728478
"OKR9-0906",1,11.77,0.369534152
"NVLS-1048",1,49.63,1.034601389
"NVRO-1020",1,34.22,0.854863035
"NJS9-0909",2,26.2,0.56793766
"IDRO-1034",1,53.57,1.14722713
"NDS9-0943",1,57.1,0.968213556
"NJR9-0901",2,44.65,0.793287895
"IDR9-0906",1,23.02,0.801908594
"OHS9-0915",2,19.87,0.372114354
"MIS9-0924",2,0.98,0.471117564
"OHS9-0923",1,0.55,0.195209359
"KSR9-0903",1,50.28,1.155619081
"KSRS-1316",1,44.7,0.526229907
"OKS9-0932",1,41.95,0.81071008
"WIS9-0931",1,7.72,0.41607831
"WISS-1162",1,28.92,0.653994451
"MIS9-0930",1,4.2,0.9247094
"LASS-1050",1,40.58,0.742561205
"NDS9-0940",1,67.12,0.632541624
"NJS9-0908",2,16.63,0.347799868
"OKRM-1002",1,10.17,0.262867487
"AZSS-1106",1,4.87,0.354340258
"NES9-0932",1,52.73,1.071144526
"NES9-0921",1,79.28,1.304623941
"MTR9-0913",1,36.37,0.931213988
"VTS9-0910",1,63.8,1.027296723
"OHS9-0914",2,25.52,0.678386607
"MNRM-1003",1,45.7,0.843786664
"TXR9-0915",1,31.38,0.495423199
"OKRM-1008",1,7.17,0.189266378
"ARR9-0904",1,33.87,0.811565004
"CAS9-0914",1,19.07,0.230880566
"KSR9-0901",1,54.67,0.555998305
"KYS9-0919",2,14.22,0.39996233
"SDSS-1188",1,17.2,0.762440328
"WYRF-0001",1,20.53,0.731946674
"COS9-0923",1,68.28,1.010490444
"AZS9-0929",1,27.15,1.289979698
"NDLS-1059",1,46.08,1.026300965
"NJRM-1001",1,6.6,0.216215391
"NVRO-1027",1,65.43,1.033970392
"NVR9-0910",1,41.65,0.474588512
"GAS9-0924",1,21.32,0.61806069
"NES9-0927",1,72.05,0.871464802
"NYLS-1125",1,65.67,1.03314861
"COS9-0932",1,50.73,1.049221496
"MILS-1059",1,22.72,1.22961785
"SDLS-1114",1,9.7,0.843536577
"TXRM-1011",1,36.52,0.660483985
"WIS9-0923",1,25.02,0.563920581
"IDR9-0910",1,10.08,0.521306267
"IDRO-1030",1,55.77,0.745036698
"WAR9-0901",1,71.42,1.017953544
"MTS9-0923",1,72.68,1.234162104
"CTS9-0917",1,39.68,0.557359729
"DES9-0912",1,16.73,0.613031348
"RISS-1083",1,59.43,1.017183243
"VTR9-0901",2,21.85,0.681825417
"ARLS-1047",1,48.78,1.041241301
"GAS9-0917",1,21.95,0.547652452
"ARSS-1090",1,38.48,0.900285017
"ARR9-0906",1,3.67,0.628573488
"MDLS-1041",1,35.15,0.972751236
"NJSS-1081",1,27.97,0.733425815
"MTR9-0909",1,68.15,1.046768308
"MTS9-0924",1,93.33,0.840498449
"NJR9-0902",2,9.65,0.457850542
"MNRM-1012",1,35.22,0.678839557
"COSS-1099",1,59.9,0.784157345
"NHSS-1070",1,20.25,0.662615564
"MNR9-0901",1,37.7,0.933404391
"ORLS-1104",1,77.32,1.289561455
"ORRM-1001",1,69.97,1.194036832
"MDLS-1038",1,13.15,1.055553659
"WYS9-0928",1,49.95,0.80787421
"NJSS-1087",1,40.75,1.131144884
"LARO-1019",1,25.1,0.512525657
"WYRF-0004",1,57.97,1.106877124
"NYRO-1052",1,28.8,0.622983876
"NJLS-1042",1,18.92,0.470416469
"WYS9-0924",1,10.03,0.598615843
"WYLS-1088",1,71.93,1.076963224
"NYS9-0936",1,76.55,1.212598245
"IDRM-1022",1,30.27,0.512745753
"NER9-0902",1,48.3,0.763392723
"IDRM-1019",1,20.35,0.637342708
"SDR9-0911",1,38.43,1.02647246
"CAS9-0915",1,41.62,0.835237756
"CAS9-0930",1,71.82,1.166783992
"MIS9-0929",1,34.4,0.852756058
"OKRO-1088",1,47.48,0.57897482
"KSR9-0905",1,63.93,0.52588812
"CARM-1010",1,30.35,0.425010626
"NJLS-1041",1,10.32,0.561108221
"CAS9-0916",1,56.98,0.941467129
"DER9-0903",1,21.85,0.763176834
"WYS9-0931",1,45.2,0.704446481
"NYRO-1049",1,34.67,0.561218983
"LARO-1020",1,40.5,0.615030788
"KSR9-0908",1,50.08,1.2702646
"MNR9-0907",1,36.12,0.42104582
"MNRM-1010",1,49.88,0.841958701
"NDS9-0938",2,37.75,1.128887939
"SDR9-0901",1,68.83,0.995620136
"OKRM-1006",1,4.65,0.725588442
"OHS9-0916",1,12.78,0.601682245
"NVR9-0905",1,45.02,0.478287594
"CARM-1011",1,35.82,0.430792176
"ORRM-1008",1,15.72,0.303957834
"TXS9-0937",1,32.85,1.22573358
"NHRO-1033",1,2.88,0.280862769
"IDR9-0908",1,64.32,1.112854361
"MISS-1133",1,35.97,1.073275802
"WIS9-0928",1,70.48,0.967255539
"OKS9-0938",1,47.68,0.893242455
"WAS9-0920",1,2.38,0.325675774
"NERM-1003",1,29.73,0.718407214
"CAS9-0921",1,80.07,1.155696137
"KSRS-1268",1,70.25,0.749236414
"MDR9-0905",2,66.35,1.171825156
"OKLS-1181",1,36.27,0.620681433
"TXR9-0903",2,21.17,0.896319913
"NVRO-1024",1,37.18,0.513291557
"UTR9-0901",1,57.13,0.775105653
"MTR9-0920",1,72.1,0.951339303
"ORR9-0903",1,65.7,1.316174958
"SDR9-0909",1,30.45,0.967543045
"OKS9-0936",1,36.82,0.741866132
"COS9-0938",1,34.48,1.152124901
"VTS9-0909",1,70.07,1.020246503
"PARF-0004",1,55.75,1.024138365
"DERO-1001",1,32.87,1.087860921
"CTS9-0921",1,54.72,0.863688534
"NYLS-1123",1,29.82,0.416230626
"KSS9-0932",1,5.95,0.542098951
"MTS9-0937",1,73.72,1.428357698
"NCRO-1016",1,31.38,0.964523205
"NYRO-1056",1,41.9,0.883079863
"NCS9-0920",1,16.67,0
"MNR9-0908",1,51.23,0.768934552
"MNRO-1052",1,15.62,0.735507782
"NHR9-0905",1,22.72,0.815602524
"CAR9-0912",1,33.4,0.318524773
"NVRM-1006",1,39.45,0.825358183
"ORR9-0911",1,21.65,0.612370017
"NDRO-1022",1,33.33,1.017886876
"NDRM-1001",1,36.27,0.797165505
"OHLS-1069",1,34.63,0.810562863
"WAS9-0921",1,49.65,1.23450557
"COS9-0937",1,42.43,1.114852526
"KSR9-0911",1,9.47,0.597655811
"NCRM-1002",1,1.75,0.438005392
"NYSS-1241",1,48.1,0.931906082
"OHLS-1074",1,42.68,0.863919442
"OHRO-1033",1,18.32,0.877949395
"COS9-0920",2,9.65,0.49399156
"COS9-0921",1,39.63,0.766189188
"NYLS-1124",1,78.88,1.076526842
"PAS9-0919",1,71.95,1.130767889
"WIS9-0927",1,43.23,0.899217359
"WYRF-0007",1,63.75,0.961269281
"OHSS-1122",1,12.38,0.35865461
"ARLS-1045",1,42.43,1.180071523
"KSR9-0912",1,27.05,1.225150133
"IASS-1090",1,39.27,0.805098989
"ILRF-0001",1,30.35,0.485781477
"INS9-0918",1,29.38,0.69917173
"NYRO-1051",1,16.6,0.575163215
"AZRM-1003",1,33.15,0.573375935
"IARF-0003",1,61.48,0.901780823
"CAR9-0904",1,30,0.269101705
"IASS-1088",1,48.78,0.731867136
"MIS9-0927",1,44.05,1.066088127
"SDRM-1007",1,29.07,0.549992668
"CAS9-0929",1,28.98,0.696587897
"WIS9-0929",1,27.87,0.647018387
"WAR9-0908",1,57.28,0.784610021
"OHSS-1127",1,49.45,0.760162777
"IAS9-0924",1,54.07,0.881122723
"MTS9-0932",1,59.45,1.246988104
"ARRO-1024",1,31.1,1.06026399
"MNRM-1002",1,53.98,0.79889938
"KSRF-0006",1,53.95,0.747504775
"ILLS-1071",1,44.4,0.931249077
"MNRM-1006",1,36.3,0.42477377
"LAS9-0948",1,45.17,0.764313326
"MOS9-0932",1,16.27,0.559845449
"NYR9-0906",1,30.25,0.416333175
"WYRF-0006",1,18.83,0.951903213
"INSS-1088",1,36.4,0.32497411
"SDRO-1072",1,25.52,1.119242557
"SDS9-0941",1,14.82,0.759896199
"IARO-1013",1,77.52,0.948002017
"NDRO-1024",1,39.8,0.8700789
"ORR9-0914",1,59.23,0.951885434
"ORS9-0939",1,27.82,0.467387808
"WISS-1164",1,19.25,0.218907773
"ILRF-0003",1,79,0.826408167
"OHRF-0002",1,47.43,0.682615752
"MOSS-1159",1,60.97,0.663982288
"TXSS-1210",1,37.43,1.195110569
"NCS9-0921",1,41.23,1.252979776
"NCRF-0002",1,45.47,0.921365341
"MTLS-1130",1,66.83,0.856734108
"KSRS-1303",1,32.97,1.033360025
"ALSS-1065",1,11.38,0.443305589
"SDRM-1011",1,80.12,0.598945633
"CAS9-0926",1,74.17,1.071856141
"OKS9-0934",1,35.98,1.040693546
"INRF-0001",1,79.25,1.07611316
"WARM-1001",1,67.05,1.43789629
"IARF-0004",1,74.43,1.187540613
"IAR9-0905",1,31.55,0.415233927
"NJSS-1078",1,32.47,0.940165001
"ILR9-0902",1,36.8,0.480490864
"CAS9-0920",1,35.55,0.801399655
"NYSS-1249",1,25.77,0.70025409
"IDR9-0905",1,11.3,0.528130211
"VTRF-0001",1,53.77,0.837823448
"INS9-0923",1,40.25,0.619206013
"IARF-0002",1,65.93,0.6478961
"OHS9-0921",1,81.77,0.78184804
"ORS9-0937",1,55.12,1.112479812
"NVS9-0921",2,31.75,0.455675407
"NVR9-0920",2,79.82,1.007775185
"NVS9-0926",2,49.07,0.584057141
"NCR9-0903",1,61.68,0.816144395
"MTRO-1070",1,68.55,1.208391609
"ARR9-0905",1,62.15,1.22812804
"ALRF-0001",1,59.87,0.950337324
"LAS9-0944",2,29.68,0.792950854
"LAR9-0915",2,33.78,0.73697776
"MOLS-1080",1,42.6,0.868369162
"IARF-0005",1,33.93,0.812310029
"MNR9-0913",1,26.38,0.806357795
"MNR9-0901",2,31.72,0.848549447
"TXS9-0933",1,46.68,1.174070738
"INRF-0002",1,61.32,0.596217178
"MTRO-1061",1,68.35,0.557967452
"OHRF-0001",1,39.98,0.691132315
"ALS9-0916",2,1.57,0.17996344
"IDRO-1033",1,42.48,0.792840225
"IDRM-1011",1,15.02,0.484552876
"IDRO-1025",1,51.25,1.014196603
"ALS9-0923",1,21.83,0.407097751
"NYS9-0925",1,81.62,1.072986719
"NDLS-1057",1,31.27,1.049217848
"NDSS-1108",1,34.12,1.002104606
"NDSS-1111",1,50.78,0.909563203
"ILLS-1074",1,55.15,0.949732157
"MORF-0010",1,56.83,0.808001353
"ILRO-1027",1,23.47,0.678225363
"NHR9-0902",1,34.53,0.392746984
"NYS9-0937",1,49.72,1.009348358
"IAS9-0931",1,33.53,0.637488497
"IDRO-1041",1,41.92,0.936554831
"RISS-1084",1,56.3,0.767161323
"ALRO-1021",1,11.85,0.422456045
"IALS-1051",1,29.72,0.528107007
"INLS-1044",1,49.72,1.096872897
"COSS-1097",1,12.55,0.592176011
"DES9-0912",2,18.78,0.561945403
"ILSS-1128",1,14.78,0.736113952
"NYLS-1119",1,79.78,1.258771325
"MDR9-0902",1,71.22,1.119482174
"MORO-1055",1,38.98,1.002684863
"MORF-0002",1,50.03,1.058965861
"MTRM-1003",1,50.7,0.94604507
"WIRF-0012",1,45,0.936453823
"WAR9-0901",2,78.95,0.916158189
"NER9-0905",1,62.78,0.97707908
"GAS9-0914",1,30.35,0.860681518
"IAS9-0920",1,71.82,1.239593291
"OHRO-1032",1,0,0.150280777
"MIS9-0928",1,11.68,0.899783109
"OKS9-0933",1,4.8,0.215268256
"KSR9-0901",2,38.38,0.111199661
"SDRO-1067",1,37.02,1.213901833
"OKR9-0912",1,32.93,0.649818538
"WIRF-0013",1,69.37,0.579420681
"ALRM-1001",1,35.55,0.425799505
"NHRM-1003",1,14.43,0.428862012
"CAS9-0914",2,21.38,0.153920378
"TXR9-0916",1,45.52,0.742870916
"MNR9-0904",1,56.53,1.002674397
"NDS9-0943",2,33.3,1.398530692
"NES9-0925",1,38.5,1.029041125
"MTR9-0912",1,41.8,0.87593385
"ILSS-1125",1,24.47,0.753998383
"KSRS-1280",1,71.82,1.083866994
"WYR9-0913",1,41.05,0.44253659
"IAS9-0918",1,42.48,0.820274919
"INS9-0920",1,14.35,0.543500612
"LAS9-0950",1,26.5,0.37925422
"LASS-1051",1,16.62,1.013166663
"MILS-1057",1,61.68,1.315792497
"NYS9-0926",1,80.15,1.124623796
"OHR9-0904",1,66.07,1.125589831
"SDLS-1113",1,32.53,1.202672977
"OHS9-0918",1,39.7,0.990887579
"NVR9-0910",2,9.77,0.379670809
"ARS9-0944",1,32.13,0.671127873
"MTR9-0905",1,56.93,1.038202743
"WASS-1133",1,56.73,0.978632678
"WYR9-0904",1,24.1,0.864059645
"CTS9-0921",2,44.77,0.863688534
"ILS9-0920",1,13.47,0.751224103
"TXLS-1119",1,39.18,0.990410417
"KSRS-1312",1,36.23,0.865629374
"OHR9-0908",1,13.9,0.702124518
"MISS-1135",1,50.9,1.135917458
"NERO-1039",1,21.12,0.839816797
"MNR9-0905",1,41.92,0.958563591
"MNR9-0911",1,35.52,1.014904907
"OHRM-1004",1,65.33,0.972723237
"NYSS-1245",1,60.47,0.876706862
"NHS9-0912",2,14.45,0.571635555
"MIS9-0936",1,28.45,1.13555019
"WYS9-0934",1,23.3,1.036887262
"MORF-0011",1,29.82,0.69115568
"LAS9-0946",1,30.57,0.717729733
"OHLS-1070",1,42.5,0.794190437
"ALRM-1002",1,23.52,0.33669133
"MORF-0012",1,72.12,1.097538553
"ALRF-0004",1,48.32,0.49443401
"CAS9-0925",1,7.15,0.112035689
"CAS9-0928",1,64,0.877413143
"ILS9-0921",1,32.27,0.702867258
"KYRO-1031",1,13,0.483634585
"MTRM-1009",1,23.6,0.583762264
"NYLS-1122",1,49.2,1.09695291
"WILS-1089",1,37.53,0.516147153
"WYRF-0002",1,44.08,1.046774058
"WIS9-0935",1,36.62,0.805320121
"NVRM-1007",1,55.4,1.210111499
"MTR9-0916",1,21.55,0.306836344
"NYS9-0924",1,15.08,0.519246206
"NDR9-0905",1,54.92,0.952551918
"NCSS-1083",1,10.93,0.420882398
"VTRS-1012",1,57.35,1.190209353
"VTS9-0911",1,64,1.106459878
"RILS-1022",1,44.07,0.762404733
"KSRS-1258",1,39.82,0.870162348
"OKRO-1087",1,20.58,0.67539101
"UTS9-0930",1,8.95,0.394940062
"WYR9-0907",1,17.6,0.958959225
"NYS9-0923",1,2.8,0.389575008
"KYRO-1029",1,27.15,0.404087973
"MIS9-0933",1,49.88,1.184755905
"ALR9-0901",1,18.7,0.495229541
"PAR9-0902",1,54.97,0.954436746
"MTR9-0908",1,25.28,0.419433095
"NDRO-1020",1,53.55,1.220662323
"GAS9-0925",1,6.95,0.391083332
"NHRO-1031",1,36.67,0.430381118
"INRO-1027",1,79,0.923715837
"UTRF-0003",1,64.52,1.057404394
